full_name,age,league,season,position,Current Club,nationality,minutes_played_overall,appearances_overall,penalty_goals,penalty_misses,clean_sheets_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_away,conceded_per_90_overall,cards_per_90_overall,passes_per_90_overall,passes_completed_per_90_overall,tackles_per_90_overall,shots_per_90_overall,shots_on_target_per_90_overall,shots_off_target_per_90_overall,interceptions_per_90_overall,key_passes_per_90_overall,dribbles_per_90_overall,dribbles_successful_per_90_overall,saves_per_90_overall,shots_faced_per_90_overall,dribbled_past_per_90_overall,blocks_per_90_overall,clearances_per_90_overall,hit_woodwork_per_90_overall,punches_per_90_overall,offsides_per_90_overall,xa_per_90_overall,npxg_per_90_overall,fouls_drawn_per_90_overall,fouls_committed_per_90_overall,xg_per_90_overall,aerial_duels_won_per_90_overall,duels_per_90_overall,duels_won_per_90_overall,dispossesed_per_90_overall,accurate_crosses_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,average_rating_overall,crosses_per_game_overall,dispossesed_per_game_overall,saves_per_game_overall,shots_per_goal_scored_overall,shots_off_target_per_game_overall,dribbles_successful_percentage_overall,save_percentage_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,inside_box_saves_total_overall,penalties_won_total_overall,shot_conversion_rate_overall,duels_won_per_game_overall,duels_won_percentage_overall,cross_completion_rate_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,three_goals_in_a_game_total_overall,annual_salary_eur,market_value_in_eur,agg_labels,Position Clusters
Mattia Caldara,29,Serie A,2022/2023,Defender,Spezia,Italy,1248.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.51,0.43,42.26,32.31,1.66,0.65,0.22,0.43,1.23,0.07,0.29,0.14,0.0,0.0,0.79,1.15,6.35,0.0,0.0,0.07,0.08,0.03,0.72,1.15,0.03,2.38,8.87,4.9,0.29,0.0,446.0,444.0,154.0,33.0,6.41,0.05,0.2,0.0,0.0,0.3,50.0,0.0,76.45,33.33,0.0,0.0,0.0,3.4,55.28,0.0,0.0,0.0,0.0,3992324.0,1600000.0,3,Centre Backs
Mattia De Sciglio,31,Serie A,2022/2023,Defender,Juventus,Italy,1044.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.69,0.0,39.22,32.07,1.21,0.26,0.0,0.26,0.26,0.69,0.43,0.17,0.0,0.0,0.43,0.26,1.47,0.0,0.0,0.0,0.11,0.01,0.95,0.34,0.01,0.86,5.78,3.19,0.6,0.52,421.0,422.0,14.0,24.0,6.68,1.53,0.41,0.0,0.0,0.18,40.0,0.0,81.76,0.0,0.0,0.0,0.0,2.18,55.22,23.08,0.0,0.0,0.0,2691000.0,2500000.0,2,Central Midfielders
Mattia Destro,32,Serie A,2022/2023,Forward,Empoli,Italy,565.0,17.0,0.0,0.0,3.0,0.16,0.0,0.16,0.31,1.12,0.48,12.29,6.86,0.16,2.87,1.12,1.76,0.16,0.64,1.28,0.48,0.0,0.0,0.0,0.0,0.8,0.16,0.0,1.12,0.04,0.21,0.8,1.91,0.21,1.28,8.94,2.71,0.8,0.16,122.0,456.0,-1.0,11.0,5.81,0.12,0.29,0.0,18.0,0.65,37.5,0.0,55.84,38.89,0.0,0.0,5.56,1.0,30.36,50.0,0.0,0.0,0.0,956800.0,1200000.0,8,Wingers
Mattia Perin,31,Serie A,2022/2023,Goalkeeper,Juventus,Italy,947.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.67,0.0,28.13,20.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,3.8,0.0,0.0,0.1,0.0,0.1,0.0,0.04,0.0,0.1,0.0,0.0,0.19,0.29,0.29,0.0,0.0,418.0,420.0,11.0,20.0,7.16,0.0,0.0,3.0,0.0,0.0,0.0,82.5,71.28,0.0,15.0,0.0,0.0,0.27,100.0,0.0,0.0,0.0,0.0,2691000.0,3500000.0,4,Goalkeepers
Mattia Valoti,30,Serie A,2022/2023,Midfielder,Monza,Italy,445.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.21,0.2,32.56,24.27,3.44,0.4,0.2,0.2,0.61,0.61,1.42,0.61,0.0,0.0,2.02,0.61,1.21,0.0,0.0,0.4,0.06,0.02,2.43,3.24,0.02,3.44,21.24,9.91,1.01,0.2,350.0,340.0,-1.0,27.0,6.61,0.12,0.31,0.0,0.0,0.06,42.86,0.0,74.53,50.0,0.0,0.0,0.0,3.06,46.67,50.0,0.0,0.0,0.0,598000.0,1500000.0,2,Central Midfielders
Mattia Viti,22,Ligue 1,2022/2023,Defender,Nice,Italy,633.0,9.0,0.0,0.0,1.0,0.14,0.0,0.14,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,332.0,118.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,7,Young High Performers
Mattia Zaccagni,28,Serie A,2022/2023,Midfielder,Lazio,Italy,2785.0,35.0,1.0,0.0,19.0,0.52,0.19,0.32,0.2,0.71,0.29,31.42,26.57,1.42,1.23,0.78,0.45,0.71,1.16,3.01,1.88,0.0,0.0,0.55,0.1,0.19,0.0,0.0,0.16,0.23,0.23,3.78,1.71,0.25,0.48,12.83,7.56,1.13,0.26,38.0,67.0,-1.0,2.0,7.27,1.74,1.0,0.0,3.8,0.4,62.37,0.0,84.57,63.16,0.0,0.0,26.32,6.69,58.94,13.11,0.0,0.0,0.0,3588000.0,26666666.666666668,1,Attacker / Winger
Mattias Svanberg,25,Bundesliga,2022/2023,Midfielder,Wolfsburg,Sweden,1836.0,32.0,0.0,0.0,11.0,0.49,0.29,0.2,0.29,1.62,0.2,25.58,18.29,1.41,1.06,0.5,0.55,1.11,1.31,1.91,0.85,0.0,0.0,0.95,0.25,1.01,0.1,0.0,0.2,0.26,0.16,1.46,1.36,0.16,1.01,10.55,4.72,0.95,0.65,117.0,39.0,-1.0,10.0,6.84,1.19,0.61,0.0,5.25,0.35,44.74,0.0,71.51,47.62,0.0,0.0,19.05,3.03,44.76,35.14,0.0,1.0,0.0,2930200.0,18000000.0,1,Attacker / Winger
Matty Cash,26,Premier League,2022/2023,Defender,Aston Villa,Poland,1819.0,26.0,0.0,0.0,6.0,0.05,0.05,0.0,0.0,1.34,0.2,36.96,28.89,2.57,0.2,0.05,0.15,1.29,0.4,1.14,0.59,0.0,0.0,0.54,0.25,1.78,0.0,0.0,0.1,0.1,0.01,0.69,0.99,0.01,0.54,7.32,4.4,0.35,0.59,350.0,216.0,96.0,22.0,6.46,1.77,0.27,0.0,0.0,0.12,52.17,0.0,78.18,25.0,0.0,0.0,0.0,3.42,60.14,26.09,0.0,0.0,0.0,3882584.0,26500000.0,2,Central Midfielders
Matz Sels,32,Ligue 1,2022/2023,Goalkeeper,Strasbourg,Belgium,3420.0,38.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.5,0.05,22.18,13.34,0.08,0.0,0.0,0.0,0.11,0.03,0.0,0.0,3.03,4.58,0.0,0.0,0.89,0.0,0.32,0.0,0.03,0.0,0.08,0.0,0.0,0.24,0.39,0.39,0.0,0.0,367.0,363.0,125.0,20.0,6.85,0.0,0.0,3.03,0.0,0.0,0.0,66.09,60.14,0.0,81.0,0.0,0.0,0.39,100.0,0.0,0.0,0.0,0.0,1560000.0,7000000.0,4,Goalkeepers
Matías Soulé,20,Serie A,2022/2023,Midfielder,Juventus,Italy,414.0,13.0,0.0,0.0,5.0,0.22,0.0,0.22,0.0,0.0,0.0,33.18,27.76,1.52,1.95,1.08,0.87,0.65,1.95,4.99,2.6,0.0,0.0,0.22,0.22,0.43,0.0,0.0,0.0,0.15,0.21,1.08,0.65,0.21,0.65,13.66,5.86,1.52,0.43,80.0,423.0,-1.0,13.0,6.77,0.46,0.54,0.0,9.0,0.31,52.17,0.0,83.66,55.56,0.0,0.0,11.11,2.08,42.86,33.33,0.0,0.0,0.0,293020.0,12333333.333333334,1,Attacker / Winger
Matías Vecino,32,Serie A,2022/2023,Midfielder,Lazio,Uruguay,1683.0,32.0,0.0,0.0,18.0,0.11,0.0,0.11,0.18,0.75,0.32,51.76,44.44,2.57,0.86,0.32,0.53,0.86,0.48,0.37,0.21,0.0,0.0,1.23,0.53,2.03,0.05,0.0,0.11,0.11,0.1,0.53,1.44,0.1,1.71,9.25,5.03,0.16,0.0,166.0,435.0,-1.0,8.0,6.79,0.03,0.09,0.0,8.0,0.31,57.14,0.0,85.85,37.5,0.0,0.0,12.5,2.94,54.34,0.0,0.0,0.0,0.0,3408600.0,3750000.0,3,Centre Backs
Matías Viña,26,Premier League,2022/2023,Defender,AFC Bournemouth,Uruguay,454.0,12.0,0.0,0.0,3.0,0.4,0.0,0.4,0.36,1.98,0.2,28.35,20.42,3.37,1.59,1.19,0.4,0.79,0.4,3.37,1.39,0.0,0.0,3.37,0.2,3.17,0.0,0.0,0.0,0.06,0.32,2.18,1.39,0.32,0.79,17.05,7.73,1.39,0.0,32.0,298.0,173.0,7.0,5.97,0.33,0.58,0.0,4.0,0.17,41.18,0.0,72.03,75.0,0.0,0.0,25.0,3.25,45.35,0.0,0.0,0.0,0.0,0.0,8000000.0,6,Strikers
Matúš Bero,28,Eredivisie,2022/2023,Midfielder,Vitesse,Slovakia,2751.0,31.0,1.0,0.0,7.0,0.26,0.1,0.16,0.2,1.5,0.2,36.22,26.7,1.77,1.18,0.69,0.49,0.52,1.31,2.09,0.59,0.0,0.0,1.37,0.23,0.72,0.03,0.0,0.16,0.17,0.12,1.7,1.24,0.15,1.7,13.45,5.73,1.47,0.13,109.0,151.0,-1.0,3.0,6.76,0.74,1.45,0.0,7.2,0.48,28.12,0.0,73.71,58.33,0.0,0.0,13.89,5.65,42.58,17.39,0.0,0.0,0.0,417379.0,3100000.0,0,Defensive Midfielders
Mauro Arambarri,28,La Liga,2022/2023,Midfielder,Getafe CF,Uruguay,1000.0,13.0,0.0,0.0,5.0,0.09,0.09,0.0,0.0,1.62,0.45,34.02,28.17,1.26,0.36,0.0,0.36,1.35,1.44,0.27,0.27,0.0,0.0,1.26,0.45,1.8,0.0,0.0,0.0,0.18,0.01,0.99,1.89,0.01,1.35,8.37,3.87,0.36,1.26,393.0,161.0,-1.0,19.0,6.92,3.23,0.31,0.0,0.0,0.31,100.0,0.0,82.8,0.0,0.0,0.0,0.0,3.31,46.24,33.33,0.0,0.0,0.0,1530000.0,8500000.0,2,Central Midfielders
Maurício,35,Liga NOS,2022/2023,Midfielder,Portimonense,Brazil,1000.0,14.0,0.0,0.0,3.0,0.27,0.0,0.27,0.0,1.35,0.18,44.01,39.36,1.68,0.69,0.3,0.4,1.38,0.69,0.69,0.3,0.0,0.0,1.38,0.49,1.09,0.0,0.0,0.0,0.1,0.21,2.77,2.18,0.21,0.99,11.08,5.74,1.09,0.3,58.0,291.0,-1.0,2.0,6.94,0.42,0.92,0.0,2.33,0.33,42.86,0.0,89.44,42.86,0.0,0.0,42.86,4.83,51.79,60.0,0.0,0.0,0.0,0.0,183333.33333333337,0,Defensive Midfielders
Max Bruns,21,Eredivisie,2022/2023,Midfielder,Twente,Netherlands,429.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.26,0.0,53.5,44.69,1.26,0.21,0.0,0.21,1.89,0.0,0.63,0.21,0.0,0.0,1.26,0.63,3.57,0.0,0.0,0.0,0.08,0.0,0.0,1.26,0.0,2.31,10.28,3.78,0.84,0.0,349.0,342.0,-1.0,16.0,5.81,0.0,0.44,0.0,0.0,0.11,33.33,0.0,83.53,0.0,0.0,0.0,0.0,2.0,36.73,0.0,0.0,0.0,0.0,22126.0,400000.0,2,Central Midfielders
Max Kilman,26,Premier League,2022/2023,Defender,Wolverhampton Wanderers,England,3308.0,37.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.44,0.08,55.14,45.67,1.04,0.37,0.03,0.34,0.55,0.12,0.76,0.55,0.0,0.0,0.34,1.13,4.24,0.03,0.0,0.0,0.12,0.01,0.31,0.52,0.01,2.32,6.69,4.21,0.21,0.03,417.0,423.0,109.0,19.0,6.84,0.09,0.21,0.0,0.0,0.33,72.0,0.0,82.83,8.33,0.0,0.0,0.0,4.18,63.01,33.33,0.0,0.0,0.0,1725574.0,31250000.0,3,Centre Backs
Maxence Caqueret,24,Ligue 1,2022/2023,Midfielder,Olympique Lyonnais,France,2777.0,36.0,0.0,0.0,8.0,0.36,0.23,0.13,0.12,1.23,0.06,54.41,47.06,2.79,0.62,0.42,0.19,1.23,1.91,2.4,1.2,0.0,0.0,1.98,0.1,0.91,0.0,0.0,0.13,0.31,0.1,1.0,1.56,0.1,0.49,12.25,5.48,1.52,0.88,143.0,37.0,-1.0,5.0,7.05,2.67,1.31,0.0,4.75,0.17,50.0,0.0,86.48,68.42,0.0,0.0,21.05,4.69,44.71,28.12,0.0,0.0,0.0,3600000.0,21666666.666666668,1,Attacker / Winger
Maxence Lacroix,23,Bundesliga,2022/2023,Defender,Wolfsburg,France,1625.0,24.0,0.0,0.0,9.0,0.06,0.0,0.06,0.09,1.33,0.06,56.99,49.43,1.06,0.18,0.06,0.12,1.35,0.06,0.41,0.35,0.0,0.0,0.41,0.64,4.93,0.0,0.0,0.0,0.12,0.04,0.59,0.94,0.04,2.76,8.21,4.75,0.41,0.0,218.0,333.0,53.0,15.0,6.58,0.09,0.3,0.0,3.0,0.09,85.71,0.0,86.73,33.33,0.0,0.0,33.33,3.52,57.86,0.0,0.0,0.0,0.0,3887000.0,18500000.0,3,Centre Backs
Maxim Dekker,19,Eredivisie,2022/2023,Defender,AZ,Netherlands,845.0,13.0,0.0,0.0,1.0,0.11,0.0,0.11,0.0,1.38,0.0,53.79,46.54,1.17,0.21,0.11,0.11,0.96,0.11,0.0,0.0,0.0,0.0,0.43,0.32,3.41,0.0,0.0,0.0,0.11,0.07,0.43,0.21,0.07,1.92,5.11,3.51,0.11,0.0,152.0,376.0,80.0,16.0,6.77,0.0,0.08,0.0,2.0,0.08,0.0,0.0,86.53,50.0,0.0,0.0,50.0,2.54,68.75,0.0,0.0,0.0,0.0,113402.0,1250000.0,3,Centre Backs
Maxim Leitsch,25,Bundesliga,2022/2023,Defender,Mainz 05,Germany,661.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.63,0.0,43.84,33.09,1.23,0.14,0.14,0.0,2.31,0.14,0.14,0.0,0.0,0.0,0.14,0.54,3.4,0.0,0.0,0.0,0.08,0.01,0.41,0.41,0.01,2.45,6.67,4.08,0.14,0.0,331.0,331.0,101.0,24.0,6.67,0.0,0.11,0.0,0.0,0.0,0.0,0.0,75.47,100.0,0.0,0.0,0.0,3.33,61.22,0.0,0.0,0.0,0.0,956800.0,2500000.0,3,Centre Backs
Maxime Busi,24,Ligue 1,2022/2023,Defender,Reims,Belgium,1039.0,21.0,0.0,0.0,5.0,0.09,0.09,0.0,0.0,1.56,0.35,41.84,31.44,1.82,0.17,0.0,0.17,1.3,0.78,1.73,0.52,0.0,0.0,1.39,0.52,1.73,0.0,0.0,0.0,0.15,0.01,0.52,1.65,0.01,1.13,9.87,3.98,0.35,0.78,270.0,163.0,132.0,21.0,5.97,1.33,0.19,0.0,0.0,0.1,30.0,0.0,75.16,0.0,0.0,0.0,0.0,2.19,40.35,32.14,0.0,0.0,0.0,845000.0,2250000.0,2,Central Midfielders
Maxime Dupé,30,Ligue 1,2022/2023,Goalkeeper,Toulouse,France,3420.0,38.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.37,0.05,28.84,21.79,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,3.29,4.79,0.0,0.0,0.68,0.0,0.39,0.0,0.05,0.0,0.11,0.03,0.0,0.26,0.42,0.39,0.0,0.0,332.0,323.0,105.0,13.0,7.04,0.0,0.0,3.29,0.0,0.0,100.0,68.68,75.55,0.0,81.0,0.0,0.0,0.39,93.75,0.0,0.0,0.0,0.0,312000.0,2250000.0,4,Goalkeepers
Maxime Esteve,21,Ligue 1,2022/2023,Defender,Montpellier,France,1645.0,23.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.37,0.16,40.84,33.23,1.37,0.27,0.0,0.27,1.92,0.05,0.27,0.16,0.0,0.0,0.27,0.93,4.65,0.0,0.0,0.0,0.06,0.01,0.38,0.99,0.01,1.7,6.57,3.61,0.22,0.0,430.0,432.0,104.0,29.0,6.71,0.04,0.17,0.0,0.0,0.22,60.0,0.0,81.37,0.0,0.0,0.0,0.0,2.87,55.0,0.0,0.0,0.0,0.0,296000.0,6333333.333333333,3,Centre Backs
Maxime Gonalons,34,Ligue 1,2022/2023,Midfielder,Clermont,France,1458.0,25.0,0.0,0.0,6.0,0.06,0.0,0.06,0.0,1.23,0.19,50.64,45.26,3.24,0.26,0.13,0.13,1.04,0.52,1.62,0.97,0.0,0.0,1.82,0.06,0.32,0.0,0.0,0.0,0.11,0.05,1.3,1.49,0.05,0.78,11.41,6.29,0.65,0.06,205.0,314.0,-1.0,13.0,6.8,0.12,0.42,0.0,4.0,0.08,60.0,0.0,89.37,50.0,0.0,0.0,25.0,4.04,55.11,33.33,0.0,0.0,0.0,720000.0,850000.0,0,Defensive Midfielders
Maxime Le Marchand,34,Ligue 1,2022/2023,Defender,Strasbourg,France,2017.0,26.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.38,0.27,52.25,41.72,1.78,0.22,0.04,0.18,1.65,0.09,0.67,0.62,0.0,0.0,0.49,0.62,3.12,0.04,0.0,0.0,0.11,0.01,0.45,1.38,0.01,2.59,8.7,5.44,0.13,0.18,372.0,367.0,109.0,23.0,6.84,0.42,0.12,0.0,0.0,0.15,93.33,0.0,79.85,20.0,0.0,0.0,0.0,4.69,62.56,36.36,0.0,0.0,0.0,400000.0,1000000.0,3,Centre Backs
Maxime Lopez,26,Serie A,2022/2023,Midfielder,Sassuolo,France,2295.0,30.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.22,0.43,62.43,55.42,1.64,0.43,0.2,0.23,0.78,1.25,1.02,0.43,0.0,0.0,1.57,0.23,0.74,0.0,0.0,0.0,0.14,0.02,0.43,1.21,0.02,0.16,6.58,2.66,0.47,0.31,312.0,292.0,-1.0,19.0,6.8,0.83,0.4,0.0,0.0,0.2,42.31,0.0,88.77,45.45,0.0,0.0,0.0,2.27,40.48,32.0,0.0,0.0,0.0,725877.0,12333333.333333334,2,Central Midfielders
Maximilian Arnold,29,Bundesliga,2022/2023,Midfielder,Wolfsburg,Germany,2776.0,32.0,3.0,2.0,11.0,0.26,0.1,0.16,0.25,1.36,0.16,45.22,37.24,2.18,0.74,0.44,0.3,0.87,1.24,0.47,0.3,0.0,0.0,0.8,0.37,2.04,0.03,0.0,0.0,0.18,0.04,2.04,1.11,0.13,0.97,9.05,5.43,0.6,1.21,144.0,153.0,-1.0,4.0,7.29,4.74,0.58,0.0,4.4,0.29,64.29,0.0,82.36,59.09,0.0,0.0,22.73,5.23,60.0,24.49,0.0,0.0,0.0,4350569.0,12000000.0,1,Attacker / Winger
Maximilian Bauer,24,Bundesliga,2022/2023,Defender,Augsburg,Germany,1842.0,26.0,0.0,0.0,4.0,0.05,0.05,0.0,0.0,1.71,0.39,35.93,26.2,1.38,0.17,0.0,0.17,1.16,0.28,0.11,0.06,0.0,0.0,0.72,0.33,3.59,0.0,0.0,0.06,0.1,0.0,1.22,1.22,0.0,3.48,10.78,6.14,0.22,0.0,288.0,200.0,108.0,30.0,6.0,0.04,0.16,0.0,0.0,0.12,50.0,0.0,72.92,0.0,0.0,0.0,0.0,4.44,56.92,0.0,0.0,0.0,0.0,233220.0,3500000.0,3,Centre Backs
Maximilian Eggestein,27,Bundesliga,2022/2023,Midfielder,Freiburg,Germany,2456.0,31.0,0.0,0.0,11.0,0.11,0.07,0.04,0.0,1.21,0.22,30.4,23.76,1.89,0.33,0.15,0.19,1.3,0.82,0.44,0.26,0.0,0.0,0.52,0.3,0.89,0.0,0.0,0.04,0.13,0.03,0.7,1.15,0.03,2.0,9.16,4.86,0.78,0.07,235.0,175.0,-1.0,13.0,6.65,0.39,0.68,0.0,9.0,0.16,58.33,0.0,78.17,44.44,0.0,0.0,11.11,4.23,53.04,16.67,0.0,0.0,0.0,624000.0,10000000.0,0,Defensive Midfielders
Maximilian Mittelstädt,26,Bundesliga,2022/2023,Defender,Hertha BSC,Germany,842.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.39,0.53,34.95,25.12,4.17,0.32,0.21,0.11,2.78,1.28,2.99,1.6,0.0,0.0,2.14,0.21,2.24,0.0,0.0,0.0,0.11,0.02,0.86,1.39,0.02,1.18,15.29,7.8,0.96,1.07,283.0,252.0,65.0,25.0,6.3,2.41,0.53,0.0,0.0,0.06,53.57,0.0,71.87,66.67,0.0,0.0,0.0,4.29,51.05,24.39,0.0,0.0,0.0,1311750.0,3500000.0,2,Central Midfielders
Maximilian Philipp,29,Bundesliga,2022/2023,Forward,Werder Bremen,Germany,548.0,18.0,0.0,0.0,2.0,0.16,0.0,0.16,0.0,1.31,0.16,26.48,21.63,1.21,1.38,0.52,0.87,0.52,0.87,1.56,0.69,0.0,0.0,1.21,0.17,0.52,0.17,0.0,0.69,0.08,0.15,2.94,1.21,0.15,1.21,14.54,6.06,1.04,0.0,145.0,264.0,-1.0,14.0,5.82,0.44,0.38,0.0,8.0,0.31,44.44,0.0,81.7,37.5,0.0,0.0,12.5,2.19,41.67,0.0,0.0,0.0,0.0,3875051.0,2000000.0,8,Wingers
Maximilian Wittek,28,Eredivisie,2022/2023,Defender,Vitesse,Germany,2720.0,31.0,0.0,0.0,9.0,0.33,0.23,0.1,0.0,1.36,0.36,39.81,29.65,2.35,1.65,0.63,1.03,0.93,2.58,1.52,0.76,0.0,0.0,1.12,0.17,1.65,0.07,0.0,0.0,0.29,0.12,0.96,1.32,0.12,0.99,9.69,5.06,0.76,2.71,157.0,47.0,77.0,6.0,7.23,9.32,0.74,0.0,16.67,1.0,50.0,0.0,74.48,38.0,0.0,0.0,6.0,4.94,52.22,28.37,0.0,0.0,0.0,468215.0,2000000.0,0,Defensive Midfielders
Maximilian Wöber,26,Premier League,2022/2023,Defender,Leeds United,Austria,1266.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.49,0.21,45.46,31.68,1.61,0.38,0.15,0.23,1.84,0.38,0.08,0.0,0.0,0.0,0.46,0.99,4.74,0.0,0.0,0.08,0.09,0.01,0.08,1.07,0.01,1.91,6.51,3.6,0.15,0.15,302.0,286.0,118.0,15.0,6.89,0.47,0.13,0.0,0.0,0.2,0.0,0.0,69.7,40.0,0.0,0.0,0.0,3.13,55.29,28.57,0.0,0.0,0.0,0.0,14000000.0,3,Centre Backs
Maximiliano Caufriez,27,Ligue 1,2022/2023,Defender,Clermont,Belgium,2224.0,26.0,0.0,0.0,7.0,0.04,0.0,0.04,0.0,0.97,0.4,45.0,39.94,1.58,0.45,0.28,0.16,1.25,0.0,0.49,0.24,0.0,0.0,0.28,0.73,2.51,0.04,0.0,0.04,0.09,0.04,1.42,1.17,0.04,0.77,6.6,4.01,0.28,0.0,230.0,257.0,36.0,9.0,6.98,0.08,0.27,0.0,11.0,0.15,50.0,0.0,88.76,63.64,0.0,0.0,9.09,3.81,60.74,0.0,0.0,0.0,0.0,660000.0,2575000.0,3,Centre Backs
Maya Yoshida,35,Bundesliga,2022/2023,Defender,Schalke 04,Japan,2553.0,29.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.76,0.14,50.01,38.72,1.2,0.36,0.07,0.29,1.63,0.15,0.29,0.22,0.0,0.0,0.4,1.05,4.57,0.04,0.0,0.04,0.08,0.01,0.62,0.73,0.01,2.94,7.69,4.94,0.07,0.07,357.0,358.0,113.0,26.0,6.8,0.24,0.07,0.0,0.0,0.28,75.0,0.0,77.43,20.0,0.0,0.0,0.0,4.69,64.15,28.57,0.0,0.0,0.0,1435200.0,700000.0,3,Centre Backs
Mayckel Lahdo,21,Eredivisie,2022/2023,Midfielder,AZ,Sweden,538.0,25.0,0.0,0.0,10.0,0.5,0.17,0.33,0.32,0.33,0.17,39.98,33.29,2.68,1.84,1.17,0.67,0.84,1.84,6.36,3.68,0.0,0.0,1.34,0.0,0.17,0.67,0.0,0.5,0.24,0.28,1.17,0.5,0.28,0.84,17.06,8.36,1.67,0.0,49.0,82.0,-1.0,12.0,6.23,0.52,0.4,0.0,5.5,0.16,57.89,0.0,83.26,63.64,0.0,0.0,18.18,2.0,49.02,0.0,0.0,0.0,0.0,53716.0,2333333.3333333335,8,Wingers
Mbala N'Zola,27,Serie A,2022/2023,Forward,Spezia,Angola,2744.0,32.0,3.0,1.0,6.0,0.49,0.07,0.43,0.39,1.34,0.26,19.4,15.67,0.31,1.83,0.78,1.05,0.24,0.95,2.2,0.95,0.0,0.0,0.17,0.2,0.71,0.03,0.0,0.34,0.11,0.26,1.42,1.93,0.33,1.36,11.94,4.04,2.27,0.07,25.0,195.0,-1.0,1.0,6.85,0.32,2.16,0.0,4.15,1.0,43.08,0.0,80.77,42.59,0.0,0.0,24.07,3.84,33.81,20.0,0.0,2.0,0.0,665387.0,8625000.0,6,Strikers
Mees De Wit,25,Eredivisie,2022/2023,Forward,AZ,Netherlands,513.0,22.0,0.0,0.0,9.0,0.53,0.18,0.35,0.0,1.05,0.35,54.56,44.56,2.28,0.7,0.35,0.35,0.88,0.88,1.4,0.88,0.0,0.0,1.4,0.35,2.81,0.0,0.0,0.0,0.23,0.24,0.35,1.75,0.24,2.63,12.81,6.14,1.23,0.7,44.0,78.0,-1.0,11.0,5.76,0.45,0.32,0.0,2.0,0.09,62.5,0.0,81.67,50.0,0.0,0.0,50.0,1.59,47.95,40.0,0.0,0.0,0.0,172973.0,1500000.0,1,Attacker / Winger
Mees Hilgers,22,Eredivisie,2022/2023,Defender,Twente,Netherlands,2053.0,30.0,0.0,0.0,15.0,0.04,0.0,0.04,0.0,0.75,0.18,59.36,51.73,2.32,0.13,0.04,0.09,1.8,0.22,0.66,0.39,0.0,0.0,0.88,0.44,2.37,0.0,0.0,0.0,0.13,0.03,0.35,1.05,0.03,1.05,7.93,4.12,0.22,0.0,222.0,319.0,11.0,15.0,6.84,0.14,0.17,0.0,3.0,0.07,60.0,0.0,87.15,33.33,0.0,0.0,33.33,3.24,51.93,0.0,0.0,0.0,0.0,113623.0,4750000.0,3,Centre Backs
Mees Hoedemakers,26,Eredivisie,2022/2023,Midfielder,Cambuur,Netherlands,2161.0,29.0,0.0,0.0,4.0,0.12,0.0,0.12,0.18,1.54,0.21,46.44,37.61,2.71,0.92,0.46,0.46,1.58,0.92,0.92,0.46,0.0,0.0,1.12,0.42,2.08,0.0,0.0,0.04,0.1,0.11,0.46,1.33,0.11,0.79,9.0,4.41,0.37,0.29,138.0,240.0,-1.0,2.0,6.88,1.24,0.31,0.0,7.33,0.38,50.0,0.0,80.99,50.0,0.0,0.0,13.64,3.66,49.07,19.44,0.0,1.0,0.0,90000.0,825000.0,0,Defensive Midfielders
