U1,U2,Position
10.5429,1.5523171,Wingers
9.717451,3.982037,Attacking Midfielders
-5.614834,0.42424706,Goalkeepers
-5.6753464,0.29867813,Goalkeepers
10.507776,5.7793083,Defensive Midfielders / Wing Backs
6.3522544,7.863883,Central Midfielders
-5.1511035,-0.10041135,Goalkeepers
11.769049,4.229141,Attacking Midfielders
7.0176826,7.3828106,Central Midfielders
11.29106,4.5289445,Defensive Midfielders / Wing Backs
10.052898,4.7562203,Attacking Midfielders
7.35888,7.4750543,Defensive Midfielders / Wing Backs
11.538126,8.812296,Central Defenders
7.1973243,10.206114,Central Defenders
10.821279,8.328501,Central Defenders
12.671453,3.3016574,Defensive Midfielders / Wing Backs
12.15048,7.9103966,Central Defenders
9.96417,6.0472836,Defensive Midfielders / Wing Backs
10.106006,3.2923682,Attacking Midfielders
9.811137,3.488437,Attacking Midfielders
9.206552,2.4029086,Wingers
11.410044,2.0524042,Wingers
10.700111,4.247296,Attacking Midfielders
10.418129,6.254387,Attacking Midfielders
6.915281,7.6102657,Central Midfielders
9.51962,2.3657255,Wingers
10.4933815,5.185835,Attacking Midfielders
10.941435,5.2486405,Attacking Midfielders
11.513797,5.1005445,Attacking Midfielders
-6.2870655,2.5334573,Goalkeepers
-5.8397694,-0.108603686,Goalkeepers
10.214108,3.291426,Attacking Midfielders
10.834236,7.900464,Defensive Midfielders / Wing Backs
7.4714546,10.469524,Central Defenders
10.523406,1.8606466,Wingers
10.116367,2.2164595,Wingers
9.441538,4.0882483,Attacking Midfielders
9.841123,3.1913204,Attacking Midfielders
-6.1233163,2.227657,Goalkeepers
10.310335,6.7357945,Defensive Midfielders / Wing Backs
7.1321316,8.561071,Central Midfielders
10.380221,6.7366476,Defensive Midfielders / Wing Backs
14.209003,-8.435384,Strikers - Goalscorers
10.24559,1.4120802,Wingers
6.213871,9.87668,Central Defenders
10.680872,3.3756316,Attacking Midfielders
10.557382,5.149061,Attacking Midfielders
10.928783,4.509368,Attacking Midfielders
6.5377226,7.07423,Central Midfielders
10.3452635,3.4551008,Attacking Midfielders
11.626808,4.3847046,Attacking Midfielders
12.181494,8.190438,Central Defenders
6.67952,10.843999,Central Defenders
10.598976,6.138804,Defensive Midfielders / Wing Backs
10.847414,6.095933,Defensive Midfielders / Wing Backs
-5.473485,0.39740682,Goalkeepers
-4.7325983,13.390682,Young High Performers
10.07719,5.024491,Attacking Midfielders
10.784025,1.7138723,Strikers
11.182797,1.9303586,Strikers
9.325824,1.3507407,Wingers
9.415547,1.4364884,Wingers
9.711304,1.5797127,Wingers
14.341454,-8.551851,Strikers - Goalscorers
11.235585,3.2751355,Attacking Midfielders
10.565916,2.304933,Attacking Midfielders
11.560243,6.7703257,Defensive Midfielders / Wing Backs
11.603358,5.696568,Defensive Midfielders / Wing Backs
6.096574,8.909722,Central Midfielders
-4.8214216,13.195128,Young High Performers
-5.2333574,13.755541,Young High Performers
10.562608,3.4336402,Wingers
9.951828,3.7368252,Attacking Midfielders
12.118323,6.90025,Defensive Midfielders / Wing Backs
-6.2456055,0.37158096,Goalkeepers
-6.2286525,0.38318557,Goalkeepers
-4.8720202,14.056154,Young High Performers
10.014936,6.2993484,Defensive Midfielders / Wing Backs
-5.335334,0.83150434,Goalkeepers
6.684278,6.8606663,Central Midfielders
11.229394,1.9597259,Strikers
-4.4601502,12.802031,Young High Performers
9.296253,2.3555279,Wingers
9.610329,3.9938817,Attacking Midfielders
11.116242,8.810387,Central Defenders
10.310025,3.6773195,Attacking Midfielders
11.258959,1.5755588,Wingers
10.078106,3.084582,Wingers
11.79637,2.575188,Attacking Midfielders
10.154059,4.3186617,Attacking Midfielders
10.461685,3.8955586,Attacking Midfielders
6.3090143,7.972451,Central Midfielders
-5.135269,13.23307,Young High Performers
10.075526,5.3142686,Attacking Midfielders
5.8161006,8.759244,Central Midfielders
5.8596435,8.479404,Central Midfielders
-6.1086583,-0.19537881,Goalkeepers
-6.297353,2.391537,Goalkeepers
-6.0576735,-0.23668551,Goalkeepers
5.54542,8.968737,Central Midfielders
6.0412965,10.11083,Central Midfielders
12.368925,3.9085793,Attacking Midfielders
12.332576,3.8753424,Strikers
12.237456,4.087391,Attacking Midfielders
7.5474277,8.431933,Central Midfielders
-5.1504226,-0.044997666,Goalkeepers
11.137833,9.094741,Central Defenders
10.115482,7.8347683,Central Defenders
10.571551,8.154185,Central Defenders
9.447495,1.7619066,Wingers
10.169712,2.0072837,Wingers
9.51963,1.7662737,Wingers
9.896613,1.6497377,Wingers
-4.889434,14.09902,Young High Performers
-5.4139934,14.4112215,Young High Performers
11.562372,2.458258,Attacking Midfielders
9.962444,4.0168037,Attacking Midfielders
10.277263,3.6271605,Attacking Midfielders
10.344773,4.4483967,Defensive Midfielders / Wing Backs
14.3685875,-8.584542,Strikers - Goalscorers
10.303453,5.220152,Attacking Midfielders
6.2268286,10.1905775,Central Defenders
10.596369,7.966139,Central Defenders
10.526855,1.7159154,Strikers
11.69834,2.7726607,Attacking Midfielders
6.35638,6.925319,Central Midfielders
11.7346,9.19916,Central Defenders
6.4092903,10.899611,Central Defenders
7.188874,11.020855,Central Defenders
5.494339,9.506372,Central Midfielders
7.091741,7.8071976,Central Midfielders
9.997155,5.6250777,Defensive Midfielders / Wing Backs
7.359633,11.043381,Central Defenders
11.238728,8.640599,Central Defenders
11.032658,8.529481,Central Defenders
6.9840493,9.105209,Central Midfielders
6.517807,7.148913,Central Midfielders
14.315819,-8.532438,Strikers - Goalscorers
10.567121,1.1329491,Wingers
10.697043,3.7091155,Attacking Midfielders
6.2432003,8.536786,Central Midfielders
11.53458,5.7703905,Defensive Midfielders / Wing Backs
10.201207,2.8970404,Attacking Midfielders
11.454254,2.6745937,Attacking Midfielders
9.857394,2.147321,Wingers
10.927731,8.286866,Defensive Midfielders / Wing Backs
7.298768,10.190811,Defensive Midfielders / Wing Backs
10.667655,8.211444,Defensive Midfielders / Wing Backs
9.958641,9.315568,Central Defenders
11.013221,8.351478,Central Defenders
7.0361114,10.2169485,Central Defenders
6.6589117,10.586139,Central Defenders
11.9716215,6.402943,Attacking Midfielders
10.074063,5.0653214,Defensive Midfielders / Wing Backs
10.415249,1.817691,Wingers
10.270663,2.4482574,Wingers
10.312486,3.033798,Wingers
10.83281,2.3216155,Wingers
11.878881,6.5921555,Defensive Midfielders / Wing Backs
14.254374,-8.476476,Strikers - Goalscorers
9.379252,2.7166467,Wingers
5.7169847,7.5484104,Central Midfielders
-5.103593,13.119839,Young High Performers
10.690174,5.0997024,Attacking Midfielders
10.498431,5.7631974,Defensive Midfielders / Wing Backs
10.798152,2.5624511,Strikers
9.9399805,2.0663655,Wingers
10.063223,1.5152687,Wingers
-5.255274,-0.035060305,Goalkeepers
11.185144,4.007267,Wingers
11.312206,3.3682919,Attacking Midfielders
11.485706,6.26861,Defensive Midfielders / Wing Backs
12.084339,7.8540397,Central Defenders
7.18491,8.610741,Central Midfielders
10.809948,8.3448,Central Defenders
10.989115,8.090058,Central Defenders
12.24734,7.9734344,Central Defenders
6.623497,8.269731,Central Midfielders
9.943258,5.426754,Defensive Midfielders / Wing Backs
10.196594,6.5669484,Defensive Midfielders / Wing Backs
11.186187,5.571601,Defensive Midfielders / Wing Backs
9.098262,2.2876472,Wingers
5.695397,7.6754084,Central Midfielders
5.5756507,8.780667,Central Midfielders
11.466893,7.2422366,Defensive Midfielders / Wing Backs
11.805915,4.572982,Attacking Midfielders
-4.8597646,14.11288,Young High Performers
9.646055,2.0367649,Wingers
9.574137,1.8336798,Wingers
-4.3794413,13.187972,Young High Performers
-4.561994,13.571496,Young High Performers
7.4579654,8.7868185,Central Midfielders
7.448197,8.507223,Central Midfielders
11.214369,3.7889354,Attacking Midfielders
7.6327314,7.7832217,Central Midfielders
9.941054,6.4304247,Defensive Midfielders / Wing Backs
7.111753,8.455383,Defensive Midfielders / Wing Backs
11.858275,6.253846,Defensive Midfielders / Wing Backs
9.929899,9.233045,Central Defenders
11.027073,8.830464,Central Defenders
6.5323954,11.145568,Central Defenders
